82,74787,4.0
82,74795,4.5
82,76251,5.0
82,77800,4.0
82,77866,2.5
82,78637,3.5
82,79132,5.0
82,79224,3.5
82,79293,2.5
82,79463,4.0
82,79677,5.0
82,79702,2.5
82,80463,4.5
82,81562,4.5
82,81591,4.0
82,81817,4.5
82,81845,4.5
82,81932,3.5
82,82461,3.0
82,83132,3.5
82,83613,3.0
82,84880,2.0
82,85774,5.0
82,85881,4.0
82,86190,4.0
82,86332,3.5
82,86781,4.5
82,86833,3.5
82,86880,2.0
82,86898,5.0
82,87222,3.5
82,87232,3.5
82,87306,3.0
82,87430,2.0
82,88140,2.5
82,88235,4.5
82,88744,4.0
82,89085,4.5
82,89118,5.0
82,89305,3.5
82,89759,5.0
82,89864,4.5
82,90866,4.5
215,73321,3.5
215,76251,3.0
215,78499,3.0
215,79091,2.5
215,79132,2.5
215,79702,3.5
215,80906,4.0
215,81845,3.0
215,84615,5.0
215,86345,3.5
215,86781,2.0
215,87869,4.0
215,88129,3.5
215,89864,4.0
215,92259,3.0
215,92535,4.0
215,93840,3.0
215,94466,5.0
215,94959,3.0
215,96488,3.0
215,96829,4.0
215,97304,4.0
215,97913,3.5
215,100714,4.5
215,102800,4.0
215,103335,2.0
215,103980,4.0
215,104069,3.5
215,104272,4.0
215,104841,3.0
215,106766,2.5
215,106782,4.5
215,106920,4.5
215,108932,3.0
215,114601,3.0
215,114670,2.5
215,115149,3.5
318,74458,4.0
318,74685,3.0
318,74789,1.0
318,75985,1.0
318,76093,5.0
318,76251,2.5
318,78105,0.5
318,78209,3.0
318,78499,5.0
318,79091,3.5
318,79134,0.5
318,79274,3.5
318,79702,3.0
318,80463,4.0
318,80615,3.0
318,80917,4.0
318,81562,2.5
318,81591,2.5
318,81834,1.0
318,81845,5.0
318,81847,4.0
318,82169,0.5
318,82461,3.0
318,83134,4.0
318,85412,3.5
318,85510,2.0
318,85788,3.5
318,86190,3.0
318,87222,3.5
318,87232,4.0
318,87306,4.0
